"PASSENGERS","AIRLINE_ID","CARRIER","CARRIER_NAME","UNIQUE_CARRIER_NAME","ORIGIN_COUNTRY","ORIGIN_COUNTRY_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_AIRPORT_ID","DEST_COUNTRY","DEST_COUNTRY_NAME","DEST","DEST_CITY_NAME","DEST_AIRPORT_ID","YEAR","MONTH","QUARTER"
30,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","BCN","Barcelona, Spain",10517,2016,1,1
37,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MCO","Orlando, FL",13204,"ES","Spain","BCN","Barcelona, Spain",10517,2016,1,1
66,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
84,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
108,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
116,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
810,20119,"UX","Air Europa","Air Europa","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
2457,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
2777,20119,"UX","Air Europa","Air Europa","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
3263,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","ATL","Atlanta, GA",10397,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
3290,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","BCN","Barcelona, Spain",10517,2016,1,1
3576,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2016,1,1
3720,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
3855,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2016,1,1
3920,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
4036,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","ORD","Chicago, IL",13930,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
4781,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DFW","Dallas/Fort Worth, TX",11298,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
5045,20119,"UX","Air Europa","Air Europa","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
5245,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
5287,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","BCN","Barcelona, Spain",10517,2016,1,1
7296,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
8913,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
11391,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2016,1,1
0,21629,"KD","Western Global","Western Global","US","United States","NKX","San Diego, CA",13700,"ES","Spain","OZP","Moron, Spain",13998,2017,1,1
1,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","HPN","White Plains, NY",12197,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
2,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","SAT","San Antonio, TX",14683,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
5,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","TEB","Teterboro, NJ",15167,"ES","Spain","LPA","Las Palmas, Spain",13047,2017,1,1
8,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","TEB","Teterboro, NJ",15167,"ES","Spain","AGP","Malaga, Spain",10205,2017,1,1
27,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","BCN","Barcelona, Spain",10517,2017,1,1
33,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","IAH","Houston, TX",12266,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
38,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MCO","Orlando, FL",13204,"ES","Spain","BCN","Barcelona, Spain",10517,2017,1,1
71,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","BOS","Boston, MA",10721,"ES","Spain","BCN","Barcelona, Spain",10517,2017,1,1
74,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
94,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
135,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
871,20119,"UX","Air Europa","Air Europa","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
2484,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
2763,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","ATL","Atlanta, GA",10397,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
2959,20119,"UX","Air Europa","Air Europa","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
3117,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","BCN","Barcelona, Spain",10517,2017,1,1
3555,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
3605,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","ORD","Chicago, IL",13930,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
4333,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
4355,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2017,1,1
4519,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2017,1,1
4531,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
4727,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","BCN","Barcelona, Spain",10517,2017,1,1
4835,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DFW","Dallas/Fort Worth, TX",11298,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
5880,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
6342,20119,"UX","Air Europa","Air Europa","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
9606,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
10428,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2017,1,1
4,21131,"VSA","VistaJet Luftfahrtunternehmen GmbH","VistaJet Luftfahrtunternehmen GmbH","US","United States","DAL","Dallas, TX",11259,"ES","Spain","BCN","Barcelona, Spain",10517,2015,2,1
5,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","PWM","Portland, ME",14321,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
6,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","TEB","Teterboro, NJ",15167,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
8,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
9,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","FLL","Fort Lauderdale, FL",11697,"ES","Spain","BCN","Barcelona, Spain",10517,2015,2,1
24,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DEN","Denver, CO",11292,"ES","Spain","BCN","Barcelona, Spain",10517,2015,2,1
38,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SJU","San Juan, PR",14843,"ES","Spain","BCN","Barcelona, Spain",10517,2015,2,1
41,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
49,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SEA","Seattle, WA",14747,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
51,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
86,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
1075,20119,"UX","Air Europa","Air Europa","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
1658,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
2110,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","BCN","Barcelona, Spain",10517,2015,2,1
2175,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","ATL","Atlanta, GA",10397,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
2349,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
2924,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2015,2,1
2977,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","ORD","Chicago, IL",13930,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
3114,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
3174,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DFW","Dallas/Fort Worth, TX",11298,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
3237,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
3396,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2015,2,1
3600,20119,"UX","Air Europa","Air Europa","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2015,2,1
