"PASSENGERS","AIRLINE_ID","CARRIER","CARRIER_NAME","UNIQUE_CARRIER_NAME","ORIGIN_COUNTRY","ORIGIN_COUNTRY_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_AIRPORT_ID","DEST_COUNTRY","DEST_COUNTRY_NAME","DEST","DEST_CITY_NAME","DEST_AIRPORT_ID","YEAR","MONTH","QUARTER"
12,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SEA","Seattle, WA",14747,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
45,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SJU","San Juan, PR",14843,"ES","Spain","BCN","Barcelona, Spain",10517,2015,4,2
45,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DEN","Denver, CO",11292,"ES","Spain","BCN","Barcelona, Spain",10517,2015,4,2
68,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
142,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
146,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","BCN","Barcelona, Spain",10517,2015,4,2
186,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
1935,20119,"UX","Air Europa","Air Europa","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
2867,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
3700,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","BCN","Barcelona, Spain",10517,2015,4,2
3821,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
3861,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
3915,20119,"UX","Air Europa","Air Europa","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
4138,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","BOS","Boston, MA",10721,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
4852,20119,"UX","Air Europa","Air Europa","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
5001,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","BCN","Barcelona, Spain",10517,2015,4,2
5176,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
5201,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2015,4,2
5227,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DFW","Dallas/Fort Worth, TX",11298,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
5542,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
5557,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","BCN","Barcelona, Spain",10517,2015,4,2
5590,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","ATL","Atlanta, GA",10397,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
6204,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","ORD","Chicago, IL",13930,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
6540,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
7548,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2015,4,2
14114,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
14896,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,4,2
0,20007,"5Y","Atlas Air Inc.","Atlas Air Inc.","US","United States","AUS","Austin, TX",10423,"ES","Spain","SVQ","Seville, Spain",15060,2016,4,2
1,21308,"0QQ","TAG Aviation (UK) Ltd.","TAG Aviation (UK) Ltd.","US","United States","FLL","Fort Lauderdale, FL",11697,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
1,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","MIA","Miami, FL",13303,"ES","Spain","LCG","A Coruna, Spain",12914,2016,4,2
2,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","IAD","Washington, DC",12264,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
3,21352,"0WQ","Avjet Corporation","Avjet Corporation","US","United States","BUR","Burbank, CA",10800,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
4,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","TEB","Teterboro, NJ",15167,"ES","Spain","SLM","Salamanca, Spain",16575,2016,4,2
4,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","MEM","Memphis, TN",13244,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
6,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","ORD","Chicago, IL",13930,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
19,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","TPA","Tampa, FL",15304,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
33,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","AUS","Austin, TX",10423,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
59,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","IAH","Houston, TX",12266,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
80,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
111,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MCO","Orlando, FL",13204,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
151,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
162,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
246,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","AUS","Austin, TX",10423,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
247,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
309,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","ATL","Atlanta, GA",10397,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
1066,20119,"UX","Air Europa","Air Europa","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
2068,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
3287,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","BOS","Boston, MA",10721,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
3472,20119,"UX","Air Europa","Air Europa","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
4079,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
4982,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
4999,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
5021,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
5276,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
5368,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DFW","Dallas/Fort Worth, TX",11298,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
5381,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
5490,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
5593,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
5598,20119,"UX","Air Europa","Air Europa","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
6134,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
6423,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","ATL","Atlanta, GA",10397,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
6543,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","ORD","Chicago, IL",13930,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
7132,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2016,4,2
13365,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
15358,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,4,2
0,20007,"5Y","Atlas Air Inc.","Atlas Air Inc.","US","United States","AUS","Austin, TX",10423,"ES","Spain","SVQ","Seville, Spain",15060,2017,4,2
1,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
1,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","AGS","Augusta, GA",10208,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
2,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","PSP","Palm Springs, CA",14262,"ES","Spain","SCQ","Santiago de Compostela, Spain",14721,2017,4,2
2,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","SJC","San Jose, CA",14831,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
3,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","PDX","Portland, OR",14057,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
3,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","SAV","Savannah, GA",14685,"ES","Spain","SCQ","Santiago de Compostela, Spain",14721,2017,4,2
4,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","BOS","Boston, MA",10721,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
13,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MCO","Orlando, FL",13204,"ES","Spain","BCN","Barcelona, Spain",10517,2017,4,2
20,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SEA","Seattle, WA",14747,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
51,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","AUS","Austin, TX",10423,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
64,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
89,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","BCN","Barcelona, Spain",10517,2017,4,2
107,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
245,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","AUS","Austin, TX",10423,"ES","Spain","BCN","Barcelona, Spain",10517,2017,4,2
2224,20119,"UX","Air Europa","Air Europa","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
2461,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
2863,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
4655,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","BOS","Boston, MA",10721,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
4736,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
5529,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","BCN","Barcelona, Spain",10517,2017,4,2
5652,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","BCN","Barcelona, Spain",10517,2017,4,2
5718,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
6359,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","ATL","Atlanta, GA",10397,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
6382,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
6430,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
6482,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2017,4,2
7228,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","ORD","Chicago, IL",13930,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
7349,20119,"UX","Air Europa","Air Europa","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
7392,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DFW","Dallas/Fort Worth, TX",11298,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
7658,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
7718,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2017,4,2
7725,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","BCN","Barcelona, Spain",10517,2017,4,2
8086,20119,"UX","Air Europa","Air Europa","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
14221,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
15514,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2017,4,2
1,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","BFI","Seattle, WA",10559,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
2,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","BFI","Seattle, WA",10559,"ES","Spain","SCQ","Santiago de Compostela, Spain",14721,2015,5,2
3,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","SMF","Sacramento, CA",14893,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
5,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SJU","San Juan, PR",14843,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
11,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","BOS","Boston, MA",10721,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
16,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DEN","Denver, CO",11292,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
35,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MCO","Orlando, FL",13204,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
82,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
97,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","AUS","Austin, TX",10423,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
120,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
124,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
136,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
176,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
307,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","IAD","Washington, DC",12264,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
2408,20119,"UX","Air Europa","Air Europa","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
3144,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
3348,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","IAD","Washington, DC",12264,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
3820,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","CLT","Charlotte, NC",11057,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
4572,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
4864,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","BOS","Boston, MA",10721,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
4875,20119,"UX","Air Europa","Air Europa","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
5104,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
5150,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","CLT","Charlotte, NC",11057,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
5650,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
5808,20119,"UX","Air Europa","Air Europa","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
5902,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DFW","Dallas/Fort Worth, TX",11298,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
5912,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
5965,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MIA","Miami, FL",13303,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
6151,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
6158,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","PHL","Philadelphia, PA",14100,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
6368,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","EWR","Newark, NJ",11618,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
6545,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
6886,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","ATL","Atlanta, GA",10397,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
8041,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","ORD","Chicago, IL",13930,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
8175,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","BCN","Barcelona, Spain",10517,2015,5,2
15041,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","MIA","Miami, FL",13303,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
15767,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2015,5,2
1,21440,"15Q","Air Alsie A/S","Air Alsie A/S","US","United States","TEB","Teterboro, NJ",15167,"ES","Spain","TFS","Tenerife, Spain",15183,2016,5,2
1,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","AUS","Austin, TX",10423,"ES","Spain","BCN","Barcelona, Spain",10517,2016,5,2
1,21568,"VJT","VistaJet Limited","VistaJet Limited","US","United States","BFI","Seattle, WA",10559,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
1,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","DTW","Detroit, MI",11433,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
1,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","TEB","Teterboro, NJ",15167,"ES","Spain","LCG","A Coruna, Spain",12914,2016,5,2
3,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","HPN","White Plains, NY",12197,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
3,21352,"0WQ","Avjet Corporation","Avjet Corporation","US","United States","BUR","Burbank, CA",10800,"ES","Spain","BCN","Barcelona, Spain",10517,2016,5,2
33,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","TPA","Tampa, FL",15304,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
60,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","BCN","Barcelona, Spain",10517,2016,5,2
65,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","IAH","Houston, TX",12266,"ES","Spain","BCN","Barcelona, Spain",10517,2016,5,2
72,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
87,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","IAH","Houston, TX",12266,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
100,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","MCO","Orlando, FL",13204,"ES","Spain","BCN","Barcelona, Spain",10517,2016,5,2
124,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
150,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","LAS","Las Vegas, NV",12889,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
173,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
275,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
1397,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","IAD","Washington, DC",12264,"ES","Spain","BCN","Barcelona, Spain",10517,2016,5,2
1854,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
1913,20119,"UX","Air Europa","Air Europa","US","United States","SJU","San Juan, PR",14843,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
2043,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","AGP","Malaga, Spain",10205,2016,5,2
3133,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","US","United States","IAD","Washington, DC",12264,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
3300,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
4283,19547,"IB","Iberia Air Lines Of Spain","Iberia Air Lines Of Spain","US","United States","BOS","Boston, MA",10721,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
4381,20119,"UX","Air Europa","Air Europa","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
5167,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","JFK","New York, NY",12478,"ES","Spain","MAD","Madrid, Spain",13156,2016,5,2
