PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,QUARTER,MONTH
0,KAQ,20370,Kalitta Air LLC,16683,I,KAQ,Kalitta Air LLC,15842,WRI,"Fort Dix, NJ",US,United States,16334,ZXA,"Rota, Spain",ES,Spain,2016,1,1
0,KAQ,20370,Kalitta Air LLC,16683,I,KAQ,Kalitta Air LLC,16286,ZAZ,"Zaragoza, Spain",ES,Spain,12884,LAN,"Lansing, MI",US,United States,2016,1,2
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,10423,AUS,"Austin, TX",US,United States,15060,SVQ,"Seville, Spain",ES,Spain,2016,2,4
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,15060,SVQ,"Seville, Spain",ES,Spain,12266,IAH,"Houston, TX",US,United States,2016,2,4
0,VIQ,20428,Volga-Dnepr Airlines,9475B,I,VIQ,Volga-Dnepr Airlines,12478,JFK,"New York, NY",US,United States,15060,SVQ,"Seville, Spain",ES,Spain,2016,2,6
0,5X,19917,United Parcel Service,16911,A,5X,United Parcel Service,13156,MAD,"Madrid, Spain",ES,Spain,14730,SDF,"Louisville, KY",US,United States,2016,3,8
0,5X,19917,United Parcel Service,16911,A,5X,United Parcel Service,14730,SDF,"Louisville, KY",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2016,3,8
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,16286,ZAZ,"Zaragoza, Spain",ES,Spain,13303,MIA,"Miami, FL",US,United States,2016,3,8
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,16286,ZAZ,"Zaragoza, Spain",ES,Spain,13303,MIA,"Miami, FL",US,United States,2016,3,9
0,GL,20402,Miami Air International,16690,I,GL,Miami Air International,13047,LPA,"Las Palmas, Spain",ES,Spain,14259,PSM,"Portsmouth, NH",US,United States,2016,3,9
0,X9,20377,Omni Air International LLC,16736,I,X9,Omni Air Express,11298,DFW,"Dallas/Fort Worth, TX",US,United States,10517,BCN,"Barcelona, Spain",ES,Spain,2016,3,9
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,14259,PSM,"Portsmouth, NH",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2016,4,10
0,X9,20377,Omni Air International LLC,16736,I,X9,Omni Air International LLC,10517,BCN,"Barcelona, Spain",ES,Spain,11298,DFW,"Dallas/Fort Worth, TX",US,United States,2016,4,10
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,16286,ZAZ,"Zaragoza, Spain",ES,Spain,12478,JFK,"New York, NY",US,United States,2016,4,11
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,16286,ZAZ,"Zaragoza, Spain",ES,Spain,13303,MIA,"Miami, FL",US,United States,2016,4,11
0,KD,21629,Western Global,11042,I,KD,Western Global,13667,NGU,"Norfolk, VA",US,United States,16334,ZXA,"Rota, Spain",ES,Spain,2016,4,11
0,KD,21629,Western Global,11042,I,KD,Western Global,16334,ZXA,"Rota, Spain",ES,Spain,13667,NGU,"Norfolk, VA",US,United States,2016,4,11
0,KD,21629,Western Global,11042,I,KD,Western Global,13667,NGU,"Norfolk, VA",US,United States,16334,ZXA,"Rota, Spain",ES,Spain,2016,4,12
0,KD,21629,Western Global,11042,I,KD,Western Global,16334,ZXA,"Rota, Spain",ES,Spain,13667,NGU,"Norfolk, VA",US,United States,2016,4,12
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,11193,CVG,"Cincinnati, OH",US,United States,16286,ZAZ,"Zaragoza, Spain",ES,Spain,2016,4,12
